na_item,unit,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
B1GQ,PPS_M3,IS	: 	: 	: 	: 	: 	31.5 	33.9 b	38.6 	41.3 	43.2 	44.5 	46.7 	47.8 	47.0 	52.1 	53.8 b	: 	: 	: 	: 	2.8 	2.7 	2.7 	2.9 	3.6 
B1GQ,PPS_M3,IT	: 	: 	: 	: 	: 	: 	: 	: 	28.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B1GQ,PPS_M3,LT	: 	: 	: 	: 	: 	4.1 	3.6 	4.7 	4.7 	5.3 	7.4 	10.4 	10.1 	10.7 	11.5 	17.3 b	21.4 	22.3 	22.8 	18.0 	64.0 	84.2 	82.7 	: 	: 
B1GQ,PPS_M3,LU	: 	: 	: 	: 	: 	243.3 	: 	: 	: 	314.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	639.9 	695.8 	780.6 	825.5 	886.9 	892.9 e
B1GQ,PPS_M3,LV	: 	: 	: 	: 	: 	29.7 	31.8 	39.2 	45.0 	51.5 	66.2 	70.2 	78.8 	86.1 	103.9 	111.4 b	143.8 	155.8 	148.0 	69.6 	101.3 	82.0 	125.1 	135.3 	: 
B1GQ,PPS_M3,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.8 	16.3 	17.5 	13.9 	7.4 	12.1 b	17.0 	29.2 	24.2 	16.7 	: 	: 	: 	: 	: 
B1GQ,PPS_M3,MT	: 	: 	: 	: 	: 	125.7 	222.8 	254.1 	299.7 	311.0 	: 	176.0 	193.1 	220.5 	229.0 	234.3 b	240.0 	223.6 	238.7 	266.2 	220.9 	237.2 	233.5 	214.0 	: 
B1GQ,PPS_M3,NL	: 	: 	: 	: 	: 	: 	48.7 	: 	: 	: 	: 	50.6 	: 	44.3 	41.8 	44.1 b	49.1 	53.0 	55.3 	48.4 	51.9 	57.4 	54.9 	: 	: 
B1GQ,PPS_M3,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	65.3 b	70.6 	71.8 	: 	: 	: 	: 	: 	: 	: 
B1GQ,PPS_M3,PL	: 	: 	: 	: 	: 	18.9 	20.8 	22.9 	25.5 	27.3 	29.4 	31.0 	32.3 	33.6 	36.8 	38.5 b	38.5 	43.5 	47.6 	48.1 	52.0 	54.3 	59.2 	61.2 	63.2 e
B1GQ,PPS_M3,PT	: 	: 	: 	: 	: 	: 	: 	: 	12.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B1GQ,PPS_M3,RO	: 	: 	: 	: 	: 	10.5 	11.0 	11.6 	11.3 	12.3 	14.0 	16.8 	18.2 	21.8 	27.5 	32.2 b	37.0 	32.6 	35.5 	35.2 	41.2 	40.6 	44.3 	45.0 	: 
B1GQ,PPS_M3,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.6 	15.1 	15.8 	17.0 	15.8 	16.9 	16.2 	18.3 	17.4 	: 
B1GQ,PPS_M3,SE	: 	: 	: 	: 	: 	61.7 	64.8 	68.3 	71.4 	76.7 	84.2 	85.0 	87.7 	90.5 	96.9 	97.6 b	104.5 	113.3 	: 	: 	110.0 	: 	: 	: 	: 
B1GQ,PPS_M3,SI	: 	: 	: 	: 	: 	: 	71.3 	78.1 	88.8 	91.5 	: 	: 	38.1 	41.5 	38.7 	43.3 b	46.6 	48.5 	44.9 	44.8 	46.6 	51.9 	47.8 	38.3 b	37.2 e
B1GQ,PPS_M3,SK	: 	: 	: 	: 	: 	27.4 	30.5 	35.0 	39.5 	42.4 	44.6 	49.6 	55.1 	60.5 	: 	82.2 b	108.1 	136.3 	151.3 	150.0 	168.2 	173.3 	161.0 	172.6 	205.3 
B1GQ,PPS_M3,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	175.8 b	203.9 	224.4 	224.9 	210.4 	210.1 	228.5 	221.7 	: 	: 
