unit;airpol;airemsect;geo\time;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985
MIO_T;GHG;CRF1-6X4_MEMO;LU;10.77058;11.2073;11.77184;12.09145;12.2212;11.64991;12.16884;12.31397;12.8988;13.04543;12.80952;11.36681;11.00687;10.2454;9.74263;8.93533;8.56582;9.4764;10.16056;10.08923;12.47691;13.30933;13.19278;13.41664;12.87095;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;LV;11.35338;11.41454;11.49346;11.60195;12.36152;11.21768;11.94064;12.36487;11.89929;11.38036;11.16682;11.17132;11.01057;11.03846;10.43407;11.00311;11.78817;12.29611;12.84942;12.79916;14.20992;16.1081;19.524;24.26968;26.25643;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;MT;2.98264;2.95396;3.3245;3.21171;3.09881;3.07396;3.18228;3.17683;3.09068;2.99916;2.8455;2.89303;2.68748;2.76912;2.62581;2.61025;2.52414;2.53006;2.51824;2.50069;2.48369;2.42271;2.33394;2.18916;2.00025;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;NL;186.84543;194.82515;195.06868;199.80072;213.52312;201.69082;207.4312;208.0865;209.1506;214.19253;219.07522;217.92951;217.86464;219.83008;219.91559;221.9013;235.25825;235.15454;242.61334;231.71159;235.03144;231.33887;230.07854;229.35455;221.51617;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;NO;;53.71601;53.86362;54.36453;55.32608;52.73343;55.48488;57.01394;55.13929;55.34891;56.25226;55.6909;55.06739;56.12087;54.88405;55.52174;54.53431;54.38758;54.45832;51.4975;51.77732;49.88152;47.89313;49.68147;52.02298;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;PL;380.03757;393.09187;396.98355;403.27136;403.59893;384.94633;403.14651;411.24034;411.53554;397.41393;397.60277;393.06557;379.64591;389.93134;392.27576;404.03119;415.62132;448.85548;458.48044;445.27275;443.21856;448.35091;447.7135;462.43279;472.99597;559.04674;579.86883;;;
MIO_T;GHG;CRF1-6X4_MEMO;PT;64.39472;64.75101;66.83895;68.69725;70.23206;75.05358;78.18466;80.49238;83.0224;88.16202;85.70585;82.73667;87.92883;83.75651;83.79844;85.01924;76.90835;71.90961;68.80697;71.1908;66.55592;65.42203;66.76693;62.39078;60.48708;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;RO;111.50718;111.83678;122.54856;124.16367;119.05579;125.46511;143.4943;148.61935;151.34549;149.25089;151.79378;153.18763;147.93693;149.17148;142.31712;136.6788;155.19435;175.39751;187.36636;184.89617;177.99063;181.87987;190.79706;208.32069;254.82027;304.65106;;;;
MIO_T;GHG;CRF1-6X4_MEMO;SE;54.38274;55.93952;57.57836;60.98715;64.99709;59.05276;63.12112;65.37265;66.92342;66.9683;69.58244;70.60136;70.16078;69.19212;68.86877;70.1817;73.08586;72.7723;77.5741;74.02936;74.23149;71.80719;71.52705;72.04125;71.91726;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;SI;16.58231;18.31378;19.03542;19.62646;19.61876;19.59537;21.52355;20.83184;20.69497;20.52274;20.19845;19.87825;20.1599;20.01072;19.12623;18.8928;19.52039;19.79447;19.44024;18.76102;18.00445;17.60554;17.41007;17.31153;18.61645;19.38442;19.50998;19.83422;20.39444;
MIO_T;GHG;CRF1-6X4_MEMO;SK;40.6576;42.85413;43.23716;45.66411;46.54313;45.61905;50.15232;49.4707;51.27323;51.35578;51.38586;50.66624;50.22455;52.21158;49.79847;51.79009;53.0903;54.51015;54.83371;54.54948;53.18103;55.82848;59.37696;64.85001;74.50405;;;;;
MIO_T;GHG;CRF1-6X4_MEMO;TR;467.55038;438.81958;447.45233;415.86881;395.28251;382.51342;393.10091;403.39249;371.32055;345.23179;316.89371;303.69442;287.09457;278.78495;296.81084;271.35796;271.75593;269.9425;256.65708;239.03979;224.71924;230.629;220.79714;214.12832;207.77332;;;;;
