Lieu	N° région, département	Série	Unité	Année	Valeur
PAYS DE LA LOIRE	52	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
PAYS DE LA LOIRE	52	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
PAYS DE LA LOIRE	52	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
PAYS DE LA LOIRE	52	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
PAYS DE LA LOIRE	52	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	3.0
PAYS DE LA LOIRE	52	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	1.0
PAYS DE LA LOIRE	52	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	0.0
PAYS DE LA LOIRE	52	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	3.6
PAYS DE LA LOIRE	52	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	7.15
PAYS DE LA LOIRE	52	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	4.77
PICARDIE	22	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
PICARDIE	22	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
PICARDIE	22	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
PICARDIE	22	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
PICARDIE	22	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	0.0
PICARDIE	22	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	25.92
PICARDIE	22	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	55.4
PICARDIE	22	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
PICARDIE	22	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
PICARDIE	22	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	0.0
POITOU-CHARENTES	54	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	14.0
POITOU-CHARENTES	54	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	9.0
POITOU-CHARENTES	54	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	8.9
POITOU-CHARENTES	54	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	2.0
POITOU-CHARENTES	54	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	14.16
POITOU-CHARENTES	54	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	0.0
POITOU-CHARENTES	54	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	0.0
POITOU-CHARENTES	54	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	15.2
POITOU-CHARENTES	54	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
POITOU-CHARENTES	54	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	1.02
PROVENCE-ALPES-COTE D AZUR	93	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	43.0
PROVENCE-ALPES-COTE D AZUR	93	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	28.0
PROVENCE-ALPES-COTE D AZUR	93	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	61.0
PROVENCE-ALPES-COTE D AZUR	93	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	79.0
PROVENCE-ALPES-COTE D AZUR	93	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	86.71
PROVENCE-ALPES-COTE D AZUR	93	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	59.5
PROVENCE-ALPES-COTE D AZUR	93	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	29.4
PROVENCE-ALPES-COTE D AZUR	93	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	44.565
PROVENCE-ALPES-COTE D AZUR	93	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	89.987
PROVENCE-ALPES-COTE D AZUR	93	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	53.442
RHONE-ALPES	82	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	1999	47.48
RHONE-ALPES	82	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2000	130.5
RHONE-ALPES	82	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2001	94.26
RHONE-ALPES	82	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2002	40.2
RHONE-ALPES	82	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2004	58.49
RHONE-ALPES	82	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2005	81.703
RHONE-ALPES	82	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2006	99.98
RHONE-ALPES	82	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2007	160.6
RHONE-ALPES	82	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2008	46.99
RHONE-ALPES	82	EA10Mercure (et ses composés) - Quantités annuelles émises	kg/an	2009	164.6
