Lieu;Département;Série;Unité;Année;Valeur
PICARDIE;22;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;2524.28
PICARDIE;22;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;1839.0
PICARDIE;22;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;1797.6
PICARDIE;22;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;1985.1
PICARDIE;22;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;1413.0
POITOU-CHARENTES;54;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;0.0
POITOU-CHARENTES;54;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;0.0
POITOU-CHARENTES;54;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;2609.0
POITOU-CHARENTES;54;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;2689.0
POITOU-CHARENTES;54;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;2388.0
POITOU-CHARENTES;54;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;3102.8
POITOU-CHARENTES;54;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;3695.6
POITOU-CHARENTES;54;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;5287.948
POITOU-CHARENTES;54;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;596.424
POITOU-CHARENTES;54;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;0.0
PROVENCE-ALPES-COTE D AZUR;93;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;17166.0
PROVENCE-ALPES-COTE D AZUR;93;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;13789.0
PROVENCE-ALPES-COTE D AZUR;93;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;24117.0
PROVENCE-ALPES-COTE D AZUR;93;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;19413.0
PROVENCE-ALPES-COTE D AZUR;93;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;12541.0
PROVENCE-ALPES-COTE D AZUR;93;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;9403.0
PROVENCE-ALPES-COTE D AZUR;93;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;7550.0
PROVENCE-ALPES-COTE D AZUR;93;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;7950.42
PROVENCE-ALPES-COTE D AZUR;93;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;6561.57
PROVENCE-ALPES-COTE D AZUR;93;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;6898.76
RHONE-ALPES;82;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;1999;2128.0
RHONE-ALPES;82;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2000;7186.0
RHONE-ALPES;82;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2001;8944.4
RHONE-ALPES;82;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2002;10194.26
RHONE-ALPES;82;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2004;4994.2
RHONE-ALPES;82;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2005;3966.2
RHONE-ALPES;82;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2006;4760.39
RHONE-ALPES;82;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2007;3451.1
RHONE-ALPES;82;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2008;3456.45
RHONE-ALPES;82;AI08Plomb (et ses composés) - Quantités annuelles émises;kg/an;2009;2677.27
