Lieu	N° région, département	Série	Unité	1990	1992	1995	1997	1999	2002	2004	2005	2006	2007	2008	2009
BOURGOGNE	26	EN10dont consommation totale dans le résidentiel	ktep	1199.0	1400.0	1306.0	1363.0	1449.0	1369.0	1418.0	1375.0	1366.0	1258.0	1287.0	1231.0
BOURGOGNE	26	EN10dont consommation totale dans le tertiaire	ktep	400.0	463.0	478.0	502.0	601.0	517.0	572.0	600.0	562.0	582.0	578.0	567.0
BOURGOGNE	26	EN10dont consommation totale hors chauffage urbain	ktep	1599.0	1863.0	1783.0	1864.0	1957.0	1835.0	1942.0	1927.0	1883.0	1799.0	1822.0	1756.0
BOURGOGNE	26	EN10Consommation de charbon dans le RT	ktep	ND	ND	ND	ND	24.0	5.0	ND	ND	ND	ND	ND	ND
BOURGOGNE	26	EN10Consommation de produits pétroliers dans le RT	ktep	396.0	488.0	478.0	488.0	493.0	472.0	474.0	420.0	412.0	355.0	390.0	336.0
BOURGOGNE	26	EN10Consommation de gaz naturel et de réseaux dans le RT	ktep	383.0	452.0	440.0	505.0	559.0	578.0	625.0	668.0	631.0	621.0	556.0	552.0
BOURGOGNE	26	EN10Consommation de gaz naturel et de réseaux dans le RT	GWh	4980.0	5866.0	5721.0	6556.0	7262.0	7512.0	8119.0	8671.0	8191.0	8067.0	7219.0	7171.0
BOURGOGNE	26	EN10dont gaz naturel et de réseaux dans le résidentiel	GWh	ND	ND	ND	ND	ND	5047.0	5713.0	5811.0	5976.0	5390.0	5051.0	4960.0
BOURGOGNE	26	EN10dont gaz naturel et de réseaux dans le tertiaire	GWh	ND	ND	ND	ND	ND	2466.0	2406.0	2860.0	2215.0	2677.0	2168.0	2211.0
BOURGOGNE	26	EN10Consommation d'électricité dans le RT	ktep	402.0	441.0	456.0	483.0	505.0	496.0	568.0	579.0	591.0	584.0	634.0	634.0
BOURGOGNE	26	EN10Consommation d'électricité dans le RT	GWh	4671.0	5132.0	5303.0	5612.0	5871.0	5766.0	6610.0	6735.0	6878.0	6791.0	7367.0	7367.0
BOURGOGNE	26	EN10dont électricité basse tension dans le résidentiel (domestique et agricole)	GWh	2887.0	3200.0	3125.0	3438.0	3572.0	3824.0	3992.0	4022.0	3997.0	3900.0	4226.0	4226.0
BOURGOGNE	26	EN10dont électricité haute et basse tension dans le tertiaire	GWh	1784.0	1932.0	2178.0	2173.0	2299.0	2490.0	2618.0	2713.0	2880.0	2891.0	3140.0	3140.0
