Lieu	N° région, département	Série	Unité	Année	Valeur
HAUTE NORMANDIE	23	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	40.6
HAUTE NORMANDIE	23	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	426.808
ILE DE FRANCE	11	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	50.0
ILE DE FRANCE	11	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	21.8
ILE DE FRANCE	11	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	12.24
ILE DE FRANCE	11	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	18.0
ILE DE FRANCE	11	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	29.94
ILE DE FRANCE	11	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	23.6
ILE DE FRANCE	11	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	15.0
ILE DE FRANCE	11	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	28.75
ILE DE FRANCE	11	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	13.7
ILE DE FRANCE	11	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	8839.926
LANGUEDOC-ROUSSILLON	91	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
LANGUEDOC-ROUSSILLON	91	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	24.87
LANGUEDOC-ROUSSILLON	91	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	22.5
LANGUEDOC-ROUSSILLON	91	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	10.655
LANGUEDOC-ROUSSILLON	91	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	5.285
LANGUEDOC-ROUSSILLON	91	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	31.75
LANGUEDOC-ROUSSILLON	91	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	0.0
LANGUEDOC-ROUSSILLON	91	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
LANGUEDOC-ROUSSILLON	91	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
LANGUEDOC-ROUSSILLON	91	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	19.316
LIMOUSIN	74	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
LIMOUSIN	74	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
LIMOUSIN	74	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	13.0
LIMOUSIN	74	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	10.0
LIMOUSIN	74	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	7.0
LIMOUSIN	74	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	18.0
LIMOUSIN	74	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	105.3
LIMOUSIN	74	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	5.52
LIMOUSIN	74	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
LIMOUSIN	74	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	6.095
LORRAINE	41	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
LORRAINE	41	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
LORRAINE	41	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	191.0
LORRAINE	41	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
LORRAINE	41	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	6.7
LORRAINE	41	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	26.5
LORRAINE	41	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	7.0
LORRAINE	41	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	154.138
LORRAINE	41	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	197.38
LORRAINE	41	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	64.368
MIDI-PYRENEES	73	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
MIDI-PYRENEES	73	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
MIDI-PYRENEES	73	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
MIDI-PYRENEES	73	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
MIDI-PYRENEES	73	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	41.0
MIDI-PYRENEES	73	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	23.0
MIDI-PYRENEES	73	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	20.056
MIDI-PYRENEES	73	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	13.0
MIDI-PYRENEES	73	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	5.86
MIDI-PYRENEES	73	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	11.008
NORD-PAS-DE-CALAIS	31	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	2741.0
NORD-PAS-DE-CALAIS	31	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	2942.0
NORD-PAS-DE-CALAIS	31	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	3094.0
NORD-PAS-DE-CALAIS	31	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	2629.6
NORD-PAS-DE-CALAIS	31	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	231.597
NORD-PAS-DE-CALAIS	31	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	117.9
NORD-PAS-DE-CALAIS	31	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	113.75
NORD-PAS-DE-CALAIS	31	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	176.33
NORD-PAS-DE-CALAIS	31	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	3469.0
NORD-PAS-DE-CALAIS	31	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	201.342
PAYS DE LA LOIRE	52	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	0.0
PAYS DE LA LOIRE	52	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
PAYS DE LA LOIRE	52	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
PAYS DE LA LOIRE	52	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
PAYS DE LA LOIRE	52	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	0.0
PAYS DE LA LOIRE	52	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2005	8.6
PAYS DE LA LOIRE	52	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2006	6.5
PAYS DE LA LOIRE	52	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2007	0.0
PAYS DE LA LOIRE	52	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2008	0.0
PAYS DE LA LOIRE	52	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2009	6.351
PICARDIE	22	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	1999	13.0
PICARDIE	22	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2000	0.0
PICARDIE	22	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2001	0.0
PICARDIE	22	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2002	0.0
PICARDIE	22	EA10Cadmium (et ses composés) - Quantités annuelles émises	kg/an	2004	0.0
