Lieu	N° région, département	Série	Unité	Année	Valeur
BOURGOGNE	26	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.385
BRETAGNE	53	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.15
CENTRE-VAL DE LOIRE	24	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.139
CHAMPAGNE-ARDENNE	21	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.113
CORSE	94	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.0
D.O.M.	97	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.0
FRANCHE COMTE	43	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.0
France entière		EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	27.7
HAUTE NORMANDIE	23	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	3.114
ILE DE FRANCE	11	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.277
LANGUEDOC-ROUSSILLON	91	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.0
LIMOUSIN	74	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.358
LORRAINE	41	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.281
MIDI-PYRENEES	73	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.0
NORD-PAS-DE-CALAIS	31	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	1.22
PAYS DE LA LOIRE	52	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.069
PICARDIE	22	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.055
POITOU-CHARENTES	54	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.045
PROVENCE-ALPES-COTE D AZUR	93	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	18.749
RHONE-ALPES	82	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2006	0.614
ALSACE	42	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.378
AQUITAINE	72	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.337
AUVERGNE	83	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.022
BASSE NORMANDIE	25	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.145
BOURGOGNE	26	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.022
BRETAGNE	53	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.327
CENTRE-VAL DE LOIRE	24	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.027
CHAMPAGNE-ARDENNE	21	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.097
CORSE	94	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.0
D.O.M.	97	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.0
FRANCHE COMTE	43	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.0
France entière		EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	14.468
HAUTE NORMANDIE	23	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.524
ILE DE FRANCE	11	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.291
LANGUEDOC-ROUSSILLON	91	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.0
LIMOUSIN	74	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.0
LORRAINE	41	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	1.315
MIDI-PYRENEES	73	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.427
NORD-PAS-DE-CALAIS	31	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	1.395
PAYS DE LA LOIRE	52	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.154
PICARDIE	22	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.072
POITOU-CHARENTES	54	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	0.04
PROVENCE-ALPES-COTE D AZUR	93	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	6.671
RHONE-ALPES	82	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2007	2.225
ALSACE	42	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.114
AQUITAINE	72	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.369
AUVERGNE	83	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.0
BASSE NORMANDIE	25	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.126
BOURGOGNE	26	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.026
BRETAGNE	53	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.0
CENTRE-VAL DE LOIRE	24	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.0
CHAMPAGNE-ARDENNE	21	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.056
CORSE	94	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.0
D.O.M.	97	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.0
FRANCHE COMTE	43	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.0
France entière		EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	182.881
HAUTE NORMANDIE	23	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.338
ILE DE FRANCE	11	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.109
LANGUEDOC-ROUSSILLON	91	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.0
LIMOUSIN	74	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.0
LORRAINE	41	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	1.24
MIDI-PYRENEES	73	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.112
NORD-PAS-DE-CALAIS	31	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	160.4
PAYS DE LA LOIRE	52	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.179
PICARDIE	22	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.022
POITOU-CHARENTES	54	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	0.033
PROVENCE-ALPES-COTE D AZUR	93	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	18.704
RHONE-ALPES	82	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2008	1.051
ALSACE	42	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.169
AQUITAINE	72	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.4
AUVERGNE	83	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.043
BASSE NORMANDIE	25	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.036
BOURGOGNE	26	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.135
BRETAGNE	53	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.031
CENTRE-VAL DE LOIRE	24	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.137
CHAMPAGNE-ARDENNE	21	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.084
CORSE	94	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.005
D.O.M.	97	EA10Plomb (et ses composés) - Quantités annuelles émises	t/an	2009	0.079
