pe_type,unit,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
PE_2,T_AI,IE	: 	: 	2028 	1829 	1972 	1854 	1820 	1641 	1289 	1314 	1413 	1260 	879 	1362 	1082 	1199 	1251 	1095 	985 	1117 	1089 	: 	: 	: 	: 	1647 	: 	: 	1050 
PE_2,T_AI,IT	: 	: 	8924 	9206 	8947 	11587 	11829 	10063 	9507 	9741 	10665 	10536 	9888 	9248 	9338 	9501 	10032 	: 	10267 	10566 	10843 	10584 	: 	: 	: 	: 	: 	: 	: 
PE_2,T_AI,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	198 	183 	121 	148 	164 	139 	115 	: 	121 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_2,T_AI,LV	: 	735 	1497 	486 	414 	316 	236 	255 	177 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_2,T_AI,MT	: 	: 	: 	: 	: 	22 	15 	19 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_2,T_AI,NL	: 	2736 	2533 	2482 	2443 	2210 	2215 	2171 	2605 	2842 	2921 	2984 	3016 	3070 	2678 	2796 	2987 	3312 	3468 	3330 	3639 	3912 	3795 	3977 	3985 	: 	: 	: 	: 
PE_2,T_AI,NO	: 	572 	549 	420 	502 	458 	632 	377 	283 	449 	544 	504 	503 	689 	626 	510 	561 	564 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_2,T_AI,PL	: 	8435 	9317 	8381 	3740 	3772 	4926 	4748 	4795 	4546 	4401 	5167 	5534 	3940 	4270 	4295 	4189 	2948 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_2,T_AI,PT	1693 	2120 	2031 	1751 	2104 	2398 	2125 	2235 	1826 	1955 	1914 	1769 	1584 	1660 	1572 	1307 	1192 	1801 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_2,T_AI,SE	: 	: 	1432 	1280 	690 	1817 	1447 	1432 	1364 	1285 	1269 	1303 	1236 	975 	1507 	1093 	937 	1054 	1631 	1852 	2009 	1763 	4193 	2752 	3368 	3515 	3977 	3947 	3733 
PE_2,T_AI,SI	: 	: 	319 	289 	286 	325 	189 	362 	405 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_2,T_AI,UK	: 	: 	9131 	10679 	10537 	10253 	10770 	10770 	10783 	11138 	11168 	10752 	10711 	9650 	9644 	10633 	10183 	12056 	18360 	20636 	20967 	30497 	30522 	30715 	30717 	30725 	: 	: 	: 
PE_3,T_AI,AT	: 	: 	: 	138 	113 	102 	97 	99 	105 	90 	87 	100 	98 	123 	137 	141 	143 	157 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PE_3,T_AI,BE	: 	: 	: 	930 	848 	839 	806 	893 	925 	1002 	1023 	996 	1179 	1115 	1018 	1118 	1269 	1167 	1295 	1383 	1398 	1369 	1548 	1676 	: 	1688 	: 	: 	1234 
PE_3,T_AI,DE	909 	1092 	813 	977 	1081 	779 	742 	740 	846 	953 	1036 	769 	792 	861 	968 	1016 	934 	1286 	1638 	1469 	1350 	1346 	1456 	1566 	2327 	2145 	1947 	2409 	2343 
PE_3,T_AI,DK	40 	24 	59 	38 	26 	50 	56 	61 	53 	60 	62 	58 	36 	163 	95 	107 	128 	146 	259 	226 	150 	158 	233 	262 	350 	375 	354 	253 	: 
