airpol,cpa08,induse,origin,unit,geo\time	2012 	2011 	2010 
CH4,CPA_B,P6,DOM,T,EU28	61753 	83361 	133762 
CH4,CPA_B,P6,DOM,THS_T,EU28	61.753 	83.361 	133.762 
CH4,CPA_B,P6,ROW,T,EU28	52697 	77922 	36783 
CH4,CPA_B,P6,ROW,THS_T,EU28	52.697 	77.922 	36.783 
CH4,CPA_B,P6,WORLD,T,EU28	114450 	161283 	170545 
CH4,CPA_B,P6,WORLD,THS_T,EU28	114.45 	161.283 	170.545 
CH4,CPA_B,TFU,DOM,T,EU28	100841 	127326 	204479 
CH4,CPA_B,TFU,DOM,THS_T,EU28	100.841 	127.326 	204.479 
CH4,CPA_B,TFU,ROW,T,EU28	217651 	244893 	208043 
CH4,CPA_B,TFU,ROW,THS_T,EU28	217.651 	244.893 	208.043 
CH4,CPA_B,TFU,WORLD,T,EU28	318491 	372219 	412522 
CH4,CPA_B,TFU,WORLD,THS_T,EU28	318.491 	372.219 	412.522 
CH4,CPA_C10-C12,P3,DOM,T,EU28	3728242 	3643779 	3828252 
CH4,CPA_C10-C12,P3,DOM,THS_T,EU28	3728.242 	3643.779 	3828.252 
CH4,CPA_C10-C12,P3,ROW,T,EU28	702944 	943686 	845135 
CH4,CPA_C10-C12,P3,ROW,THS_T,EU28	702.944 	943.686 	845.135 
CH4,CPA_C10-C12,P3,WORLD,T,EU28	4431186 	4587465 	4673388 
CH4,CPA_C10-C12,P3,WORLD,THS_T,EU28	4431.186 	4587.465 	4673.388 
CH4,CPA_C10-C12,P3_S13,DOM,T,EU28	7003 	6302 	5069 
CH4,CPA_C10-C12,P3_S13,DOM,THS_T,EU28	7.003 	6.302 	5.069 
CH4,CPA_C10-C12,P3_S13,ROW,T,EU28	1154 	1361 	965 
CH4,CPA_C10-C12,P3_S13,ROW,THS_T,EU28	1.154 	1.361 	0.965 
CH4,CPA_C10-C12,P3_S13,WORLD,T,EU28	8157 	7663 	6035 
CH4,CPA_C10-C12,P3_S13,WORLD,THS_T,EU28	8.157 	7.663 	6.035 
CH4,CPA_C10-C12,P3_S14,DOM,T,EU28	3720820 	3636948 	3822754 
CH4,CPA_C10-C12,P3_S14,DOM,THS_T,EU28	3720.82 	3636.948 	3822.754 
CH4,CPA_C10-C12,P3_S14,ROW,T,EU28	701726 	942052 	843937 
