airpol;cpa02;t_cols;origin;unit;geo\time;2007;2006;2005;2004;2003;2002;2001;2000 
CH4;CPA_B05;P53;DOM;THS_T;EU27;0.103;0.055;0.025;0.017;0.043;0.042;0.037;0.036
CH4;CPA_B05;P53;WORLD;T;EU27;157;84;38;26;62;59;54;54
CH4;CPA_B05;P53;WORLD;THS_T;EU27;0.157;0.084;0.038;0.026;0.062;0.059;0.054;0.054
CH4;CPA_B05;P6;DOM;T;EU27;804;769;747;693;649;757;770;840
CH4;CPA_B05;P6;DOM;THS_T;EU27;0.804;0.769;0.747;0.693;0.649;0.757;0.77;0.84
CH4;CPA_B05;P6;WORLD;T;EU27;1403;1341;1299;1114;1047;1164;1204;1369
CH4;CPA_B05;P6;WORLD;THS_T;EU27;1.403;1.341;1.299;1.114;1.047;1.164;1.204;1.369
CH4;CPA_B05;P6_X_P7;WORLD;T;EU27;-2158;-2285;-2156;-1757;-1891;-1900;-1935;-2074
CH4;CPA_B05;P6_X_P7;WORLD;THS_T;EU27;-2.158;-2.285;-2.156;-1.757;-1.891;-1.9;-1.935;-2.074
CH4;CPA_B05;P7;ROW;T;EU27;-3562;-3626;-3455;-2871;-2937;-3064;-3139;-3443
CH4;CPA_B05;P7;ROW;THS_T;EU27;-3.562;-3.626;-3.455;-2.871;-2.937;-3.064;-3.139;-3.443
CH4;CPA_CA10;FINUBP;DOM;T;EU27;101501;154750;136786;113559;119693;179578;156848;176160
CH4;CPA_CA10;FINUBP;DOM;THS_T;EU27;101.501;154.75;136.786;113.559;119.693;179.578;156.848;176.16
CH4;CPA_CA10;FINUBP;WORLD;T;EU27;136909;176081;160071;135799;147081;205013;199291;224355
CH4;CPA_CA10;FINUBP;WORLD;THS_T;EU27;136.909;176.081;160.071;135.799;147.081;205.013;199.291;224.355
CH4;CPA_CA10;P3;DOM;T;EU27;91867;125697;109168;128500;146673;150102;142926;154456
CH4;CPA_CA10;P3;DOM;THS_T;EU27;91.867;125.697;109.168;128.5;146.673;150.102;142.926;154.456
CH4;CPA_CA10;P3;WORLD;T;EU27;125246;150297;131469;154648;177941;183869;189412;188032
CH4;CPA_CA10;P3;WORLD;THS_T;EU27;125.246;150.297;131.469;154.648;177.941;183.869;189.412;188.032
CH4;CPA_CA10;P3_P5;WORLD;T;EU27;120151;147130;139179;116297;115514;171919;158193;180645
CH4;CPA_CA10;P3_P5;WORLD;THS_T;EU27;120.151;147.13;139.179;116.297;115.514;171.919;158.193;180.645
CH4;CPA_CA10;P3_S13;DOM;T;EU27;479;443;154;163;430;487;496;425
CH4;CPA_CA10;P3_S13;DOM;THS_T;EU27;0.479;0.443;0.154;0.163;0.43;0.487;0.496;0.425
CH4;CPA_CA10;P3_S13;WORLD;T;EU27;507;463;159;168;445;503;510;435
CH4;CPA_CA10;P3_S13;WORLD;THS_T;EU27;0.507;0.463;0.159;0.168;0.445;0.503;0.51;0.435
CH4;CPA_CA10;P3_S14;DOM;T;EU27;91221;125021;108793;128113;145946;149356;142199;153833
CH4;CPA_CA10;P3_S14;DOM;THS_T;EU27;91.221;125.021;108.793;128.113;145.946;149.356;142.199;153.833
CH4;CPA_CA10;P3_S14;WORLD;T;EU27;124562;149591;131080;154250;177188;183099;188664;187393
CH4;CPA_CA10;P3_S14;WORLD;THS_T;EU27;124.562;149.591;131.08;154.25;177.188;183.099;188.664;187.393
CH4;CPA_CA10;P3_S15;DOM;T;EU27;167;233;221;224;298;259;231;198
CH4;CPA_CA10;P3_S15;DOM;THS_T;EU27;0.167;0.233;0.221;0.224;0.298;0.259;0.231;0.198
CH4;CPA_CA10;P3_S15;WORLD;T;EU27;177;243;229;231;308;268;238;203
CH4;CPA_CA10;P3_S15;WORLD;THS_T;EU27;0.177;0.243;0.229;0.231;0.308;0.268;0.238;0.203
CH4;CPA_CA10;P5;DOM;T;EU27;-2655;3669;9413;-31500;-55174;-167;-22847;-18079
CH4;CPA_CA10;P5;DOM;THS_T;EU27;-2.655;3.669;9.413;-31.5;-55.174;-0.167;-22.847;-18.079
CH4;CPA_CA10;P5;WORLD;T;EU27;-5095;-3167;7710;-38351;-62426;-11950;-31218;-7386
CH4;CPA_CA10;P5;WORLD;THS_T;EU27;-5.095;-3.167;7.71;-38.351;-62.426;-11.95;-31.218;-7.386
CH4;CPA_CA10;P52;DOM;T;EU27;-2655;3669;9413;-31500;-55174;-5276;-25309;-22112
CH4;CPA_CA10;P52;DOM;THS_T;EU27;-2.655;3.669;9.413;-31.5;-55.174;-5.276;-25.309;-22.112
CH4;CPA_CA10;P52;WORLD;T;EU27;-5095;-3167;7710;-38351;-62426;-17101;-33705;-11455
CH4;CPA_CA10;P52;WORLD;THS_T;EU27;-5.095;-3.167;7.71;-38.351;-62.426;-17.101;-33.705;-11.455
CH4;CPA_CA10;P52_P53;DOM;T;EU27;-2655;3669;9413;-31500;-55174;-167;-22847;-18079
CH4;CPA_CA10;P52_P53;DOM;THS_T;EU27;-2.655;3.669;9.413;-31.5;-55.174;-0.167;-22.847;-18.079
CH4;CPA_CA10;P52_P53;WORLD;T;EU27;-5095;-3167;7710;-38351;-62426;-11950;-31218;-7386
CH4;CPA_CA10;P52_P53;WORLD;THS_T;EU27;-5.095;-3.167;7.71;-38.351;-62.426;-11.95;-31.218;-7.386
CH4;CPA_CA10;P53;DOM;T;EU27;:;:;:;:;:;5109;2462;4033
CH4;CPA_CA10;P53;DOM;THS_T;EU27;:;:;:;:;:;5.109;2.462;4.033
CH4;CPA_CA10;P53;WORLD;T;EU27;:;:;:;:;:;5151;2487;4069
CH4;CPA_CA10;P53;WORLD;THS_T;EU27;:;:;:;:;:;5.151;2.487;4.069
CH4;CPA_CA10;P6;DOM;T;EU27;12289;25385;18205;16559;28193;29644;36769;39783
CH4;CPA_CA10;P6;DOM;THS_T;EU27;12.289;25.385;18.205;16.559;28.193;29.644;36.769;39.783
CH4;CPA_CA10;P6;WORLD;T;EU27;16758;28950;20893;19502;31567;33094;41098;43710
CH4;CPA_CA10;P6;WORLD;THS_T;EU27;16.758;28.95;20.893;19.502;31.567;33.094;41.098;43.71
