indic_nv	unit	geo	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
FEC_HH	KTOE	FR63	:	:	:	:	:	:	:	:	:	594.77	495.5	587.43	499.94	533.08
FEC_HH	KTOE	FR71	:	:	:	:	:	:	:	:	:	4466.8	4018.77	4209.5	4010.32	4251.57
FEC_HH	KTOE	FR72	:	:	:	:	:	:	:	:	:	1163.53	909.06	1062.09	919.1	980.75
FEC_HH	KTOE	FR81	:	:	:	:	:	:	:	:	:	1578.55	1665.42	1405.65	1643.85	1735.5
FEC_HH	KTOE	FR82	:	:	:	:	:	:	:	:	:	3018.16	3211.34	2767.27	3201.88	3394.3
FEC_HH	KTOE	FR83	:	:	:	:	:	:	:	:	:	280.43	191.67	226.69	188.07	197.71
FEC_HH	KTOE	FR91	:	:	:	:	:	:	:	:	:	313.62	298.76	287.34	299.33	317.58
FEC_HH	KTOE	FR92	:	:	:	:	:	:	:	:	:	281.9	269.05	258.94	269.97	286.68
FEC_HH	KTOE	FR93	:	:	:	:	:	:	:	:	:	138.26	126.94	117.49	117.77	121.09
FEC_HH	KTOE	FR94	:	:	:	:	:	:	:	:	:	545.13	515.76	492.35	509.17	535.37
FEC_HH	KTOE	HR	1717.95	1801.5	1871.9	1890.2	1809.9	1789.8	1718.96	1917.82	1989.83	1874.29	1859.24	1719.17	1657.39	1656.09
FEC_HH	KTOE	HR03	388.08 e	406.96	422.86 e	427 e	408.86 e	404.32 e	388.31 e	433.24 e	449.5 e	491.57	487.63	450.89	434.69	434.35
FEC_HH	KTOE	HR04	1329.87 e	1394.54	1449.04 e	1463.2 e	1401.04 e	1385.48 e	1330.65 e	1484.58 e	1540.33 e	1382.72	1371.61	1268.28	1222.7	1221.74
FEC_HH	KTOE	HU10	:	:	:	:	:	:	:	:	:	1941.94	2007.32	1789.97	1812.75	1704.25
FEC_HH	KTOE	HU21	:	:	:	:	:	:	:	:	:	652.66	669.34	589.47	597.15	536.74
FEC_HH	KTOE	HU22	:	:	:	:	:	:	:	:	:	569.1	571.86	502.68	498.44	455.52
FEC_HH	KTOE	HU23	:	:	:	:	:	:	:	:	:	533.31	541.68	476.73	480.07	444.98
FEC_HH	KTOE	HU31	:	:	:	:	:	:	:	:	:	692.35	728.81	653.25	631.9	604.53
FEC_HH	KTOE	HU32	:	:	:	:	:	:	:	:	:	692.35	728.81	653.25	631.9	604.53
FEC_HH	KTOE	HU33	:	:	:	:	:	:	:	:	:	878.55	945.72	821.55	788.62	746.38
FEC_HH	KTOE	IE	:	734.47	2761.21	2954.82	3218.28	3100.93	3081.78	2921.01	2961.58	2839.52	2715.95	2610.58	2638.95	2503.92
FEC_HH	KTOE	IE01	:	734.47	769.35	883.5	831.69	846.74	779.1	795.14	784.63	:	:	:	:	:
FEC_HH	KTOE	IE02	:	1991.86	2071.32	2386.59	2254.19	2302.68	2125.87	2176.95	2155.03	:	:	:	:	:
FEC_HH	KTOE	LT	1467.8	1535.1	1533.6	1594.2	1568.7	1551.6	1503.9	1569.7	1508.1	1482.7	1469.7	1444	1420.9	1367.3
FEC_HH	KTOE	LT00	1467.8	1535.1	1533.6	1594.2	1568.7	1551.6	1503.9	1569.7	1508.1	1482.7	1469.7	1444	1420.9	1367.3
FEC_HH	KTOE	LU	613	644	667	712	702	725	717	732	728	739.89	704.87	681.76	694.81	655.49
FEC_HH	KTOE	LU00	613	644	667	712	702	725	717	732	728	739.89	704.87	681.76	694.81	655.49
FEC_HH	KTOE	LV	1268	1377	1326	1389	1534	1452	1459	1480	1503	:	:	:	:	:
FEC_HH	KTOE	LV00	1268	1377	1326	1389	1534	1452	1459	1480	1503	:	:	:	:	:
FEC_HH	KTOE	MK00	453	523	543	537	542	508	478	503	486	:	:	:	:	:
FEC_HH	KTOE	MT	69.6	70.17	68.97	65.67	66.23	73.28	75.98	94.32	75.59	85.86	84.31	72.53	66.96	67.55
FEC_HH	KTOE	MT00	69.6	70.17	68.97	65.67	66.23	73.28	75.98	94.32	75.59	85.86	84.31	72.53	66.96	67.55
FEC_HH	KTOE	NL11	376.06 e	359.23 e	338.7 e	400.73 e	354.85 e	344.73 e	326.12 e	353.61 e	357.73 e	:	:	:	:	:
FEC_HH	KTOE	NL12	421.47 e	402.61 e	379.6 e	449.12 e	398.56 e	386.65 e	365.11 e	395.62 e	399.97 e	:	:	:	:	:
FEC_HH	KTOE	NL13	320.18 e	305.85 e	288.37 e	341.18 e	302.82 e	293.44 e	276.42 e	298.44 e	300.68 e	:	:	:	:	:
FEC_HH	KTOE	NL21	737.12 e	704.13 e	663.89 e	785.48 e	695.64 e	673.28 e	634.69 e	685.94 e	690.13 e	:	:	:	:	:
FEC_HH	KTOE	NL22	1303.55 e	1245.21 e	1174.05 e	1389.07 e	1230.69 e	1192.59 e	1125.15 e	1217.05 e	1226.71 e	:	:	:	:	:
FEC_HH	KTOE	NL23	252.95 e	241.63 e	227.82 e	269.54 e	237.01 e	227.65 e	212.87 e	228.33 e	227.59 e	:	:	:	:	:
FEC_HH	KTOE	NL31	796.18 e	760.55 e	717.09 e	848.41 e	748.45 e	722.18 e	676.89 e	726.91 e	728.61 e	:	:	:	:	:
FEC_HH	KTOE	NL32	1740.56 e	1662.67 e	1567.65 e	1854.75 e	1635.79 e	1578.7 e	1485.61 e	1605.68 e	1616.8 e	:	:	:	:	:
FEC_HH	KTOE	NL33	2286.08 e	2183.77 e	2058.98 e	2436.06 e	2151.98 e	2080.82 e	1964.32 e	2130.69 e	2151.32 e	:	:	:	:	:
FEC_HH	KTOE	NL34	248.72 e	237.59 e	224.02 e	265.04 e	235.49 e	228.79 e	216.32 e	234.2 e	236.37 e	:	:	:	:	:
FEC_HH	KTOE	NL41	1593.89 e	1522.55 e	1435.55 e	1698.45 e	1504.82 e	1457.67 e	1375.3 e	1488.24 e	1500.01 e	:	:	:	:	:
FEC_HH	KTOE	NL42	732.14 e	699.37 e	659.4 e	780.17 e	693.89 e	675.51 e	641.19 e	697.28 e	707.09 e	:	:	:	:	:
FEC_HH	KTOE	PT20	43.32 p	43.15	46.41	52.15	42.98	42.23	39.99	:	:	:	:	:	:	:
FEC_HH	KTOE	PT30	38.59 p	39.48	42.3	43.21	42.6	42.56	42.48	:	:	:	:	:	:	:
FEC_HH	KTOE	UK	:	:	:	:	40479.14	42892.3	44081.85	45069.24	45971.23	:	:	:	:	:
FEC_HH	KTOE	UKC1	:	:	:	:	800.44	857.26	886.84	910.26	932.22	:	:	:	:	:
FEC_HH	KTOE	UKC2	:	:	:	:	997.66	1074.76	1113.18	1142.51	1179.96	:	:	:	:	:
FEC_HH	KTOE	UKD1	:	:	:	:	367.58	384.5	393.72	402	410.63	:	:	:	:	:
FEC_HH	KTOE	UKD3	:	:	:	:	1695.72	1824.64	1899.18	1941.67	1993.64	:	:	:	:	:
FEC_HH	KTOE	UKD4	:	:	:	:	1000.07	1069.57	1106.16	1128.87	1154.64	:	:	:	:	:
FEC_HH	KTOE	UKD6	:	:	:	:	645.45	684.9	706.4	718.23	736.75	:	:	:	:	:
FEC_HH	KTOE	UKD7	:	:	:	:	971.04	1045.15	1088.51	1116.37	1155.92	:	:	:	:	:
FEC_HH	KTOE	UKE1	:	:	:	:	607.36	645.65	668.66	683	701.1	:	:	:	:	:
FEC_HH	KTOE	UKE2	:	:	:	:	568	595.2	604.87	616.45	628.03	:	:	:	:	:
FEC_HH	KTOE	UKE3	:	:	:	:	877.84	938.91	979.96	1008.93	1041.66	:	:	:	:	:
FEC_HH	KTOE	UKE4	:	:	:	:	1457.02	1549.45	1609.51	1643.65	1686.73	:	:	:	:	:
FEC_HH	KTOE	UKF1	:	:	:	:	1345.09	1436.57	1497.82	1522.31	1569.61	:	:	:	:	:
