Lieu;Série;Unité;Année;Valeur
Ile-de-France;Prix des Terres > 70 ares;€;2009;6 890
Languedoc-Roussillon;Prix des Terres > 70 ares;€;2009;5 450
Limousin;Prix des Terres > 70 ares;€;2009;3 310
Lorraine;Prix des Terres > 70 ares;€;2009;4 000
Midi-Pyrénées;Prix des Terres > 70 ares;€;2009;5 630
Nord-Pas-de-Calais;Prix des Terres > 70 ares;€;2009;8 660
Pays de la Loire;Prix des Terres > 70 ares;€;2009;3 300
Picardie;Prix des Terres > 70 ares;€;2009;6 560
Poitou-Charentes;Prix des Terres > 70 ares;€;2009;3 710
Provence-Alpes-Côte d'Azur;Prix des Terres > 70 ares;€;2009;11 270
Rhône-Alpes;Prix des Terres > 70 ares;€;2009;4 400
