Lieu;Département;Série;Unité;Année;Valeur
AQUITAINE;72;Azote (sauf épandage);t/an;2008;4415.818
AQUITAINE;72;Azote (sauf épandage);t/an;2009;4608.133
AQUITAINE;72;Azote (y compris épandage);t/an;1999;802.0
AQUITAINE;72;Azote (y compris épandage);t/an;2000;920.1
AQUITAINE;72;Azote (y compris épandage);t/an;2001;858.3
AQUITAINE;72;Azote (y compris épandage);t/an;2002;578.535
AQUITAINE;72;Azote (y compris épandage);t/an;2004;468.514
AQUITAINE;72;Azote (y compris épandage);t/an;2005;1018.679
AQUITAINE;72;Azote (y compris épandage);t/an;2006;924.269
AQUITAINE;72;Azote (y compris épandage);t/an;2007;4420.554
AQUITAINE;72;Azote (y compris épandage);t/an;2008;4415.818
AQUITAINE;72;Azote (y compris épandage);t/an;2009;4608.133
AQUITAINE;72;Cadmium (et ses composés);kg/an;1999;34.0
AQUITAINE;72;Cadmium (et ses composés);kg/an;2000;30.5
AQUITAINE;72;Cadmium (et ses composés);kg/an;2001;24.7
AQUITAINE;72;Cadmium (et ses composés);kg/an;2002;18.7
AQUITAINE;72;Cadmium (et ses composés);kg/an;2004;25.8
AQUITAINE;72;Cadmium (et ses composés);kg/an;2005;37.2
AQUITAINE;72;Cadmium (et ses composés);kg/an;2006;19.4
AQUITAINE;72;Cadmium (et ses composés);kg/an;2007;19.0
AQUITAINE;72;Cadmium (et ses composés);kg/an;2008;15.0
AQUITAINE;72;Cadmium (et ses composés);kg/an;2009;34.865
AQUITAINE;72;Chlorures;t/an;1999;3400.0
AQUITAINE;72;Chlorures;t/an;2000;4593.0
AQUITAINE;72;Chlorures;t/an;2001;3080.0
AQUITAINE;72;Chlorures;t/an;2002;2640.0
AQUITAINE;72;Chlorures;t/an;2004;0.0
AQUITAINE;72;Chlorures;t/an;2005;0.0
AQUITAINE;72;Chlorures;t/an;2006;2764.0
AQUITAINE;72;Chlorures;t/an;2007;9863.716
AQUITAINE;72;Chlorures;t/an;2008;9993.89
AQUITAINE;72;Chlorures;t/an;2009;10937.893
AQUITAINE;72;Chrome;t/an;1999;0.0
AQUITAINE;72;Chrome;t/an;2000;0.0
AQUITAINE;72;Chrome;t/an;2001;0.0
AQUITAINE;72;Chrome;t/an;2002;0.096
AQUITAINE;72;Chrome;t/an;2004;0.149
AQUITAINE;72;Chrome;t/an;2005;0.24
AQUITAINE;72;Chrome;t/an;2006;0.163
AQUITAINE;72;Chrome;t/an;2007;0.189
AQUITAINE;72;Chrome;t/an;2008;0.523
AQUITAINE;72;Chrome;t/an;2009;0.202
AQUITAINE;72;Chrome hexavalent;kg/an;1999;0.0
AQUITAINE;72;Chrome hexavalent;kg/an;2000;40.0
AQUITAINE;72;Chrome hexavalent;kg/an;2001;83.0
AQUITAINE;72;Chrome hexavalent;kg/an;2002;0.0
