nst07	unit	geo	2015	2014	2013	2012	2011	2010	2009	2008
TOTAL	THS_T	DE428	:	:	8059	7583	7948	6928	6427	7095
TOTAL	THS_T	DE429	:	:	5517	4719	6324	5712	6944	4734
TOTAL	THS_T	DE42A	:	:	11049	11589	11671	11951	10895	12052
TOTAL	THS_T	DE501	:	23298	22757	27537	24801	22576	22415	26248
TOTAL	THS_T	DE502	:	6860	6774	6145	6493	5554	5332	9263
TOTAL	THS_T	DE600	:	63671	64226	59793	62586	61756	65002	69889
TOTAL	THS_T	DE711	:	2573	2072	2587	2275	2553	2255	1929
TOTAL	THS_T	DE712	:	18771	17065	17655	17402	18002	15472	17669
TOTAL	THS_T	DE713	:	1635	1487	923	1337	1229	1289	1694
TOTAL	THS_T	DE714	:	4821	4881	5188	5265	5400	5663	5741
TOTAL	THS_T	DE715	:	8591	7844	7466	8128	6703	7322	6952
TOTAL	THS_T	DE716	:	7633	7687	6351	7927	7873	8708	7652
TOTAL	THS_T	DE717	:	12480	11707	12536	11756	11030	11563	10854
TOTAL	THS_T	DE718	:	3208	3655	3348	3424	3682	2465	2958
TOTAL	THS_T	DE719	:	9827	7823	8628	8040	8494	8118	10008
TOTAL	THS_T	DE71A	:	5085	5006	5249	5085	5350	5271	5242
TOTAL	THS_T	DE71B	:	1254	1474	1214	1197	1184	1586	1300
TOTAL	THS_T	DE71C	:	6889	7436	6740	7377	8164	6991	6435
TOTAL	THS_T	DE71D	:	1689	1661	1807	2202	1769	1405	1598
TOTAL	THS_T	DE71E	:	7909	7463	7174	7124	10291	8617	9385
TOTAL	THS_T	DE721	:	6711	7012	6517	7760	6716	6347	7503
TOTAL	THS_T	DE722	:	10122	9417	9450	9825	9905	8536	10603
TOTAL	THS_T	DE723	:	6308	5939	4993	5355	5181	5405	5021
TOTAL	THS_T	DE724	:	5882	7082	6817	6920	6209	7181	8501
TOTAL	THS_T	DE725	:	4447	4172	4240	4925	4185	3867	4671
TOTAL	THS_T	DE731	:	5687	6100	5332	5685	5258	5702	6997
TOTAL	THS_T	DE732	:	13178	11502	12653	11364	11851	10759	12555
TOTAL	THS_T	DE733	:	8854	8243	8194	8632	8071	6708	7538
TOTAL	THS_T	DE734	:	7436	8608	6832	8190	6659	6208	6872
TOTAL	THS_T	DE735	:	11685	10395	10890	12705	10584	9649	10385
TOTAL	THS_T	DE736	:	4937	5270	5030	5840	4911	4712	5648
TOTAL	THS_T	DE737	:	5404	4355	4017	5311	4166	4728	4219
TOTAL	THS_T	DE801	:	1239	636	910	726	851	749	659
TOTAL	THS_T	DE802	:	1450	1872	1536	1699	1402	1345	1788
TOTAL	THS_T	DE803	:	6275	6677	6810	8123	6582	5961	6326
TOTAL	THS_T	DE804	:	1983	1873	1857	1906	1690	1735	1786
TOTAL	THS_T	DE805	:	1316	1023	1034	1314	1196	989	1267
TOTAL	THS_T	DE806	:	2496	2995	3272	3032	2937	2343	3042
TOTAL	THS_T	DE807	:	3374	2999	3646	3302	3020	3878	3918
TOTAL	THS_T	DE808	:	7330	5914	6808	6406	6672	6025	6578
TOTAL	THS_T	DE809	:	4790	5003	5518	5425	5013	4658	5671
