nst07	unit	geo	2015	2014	2013	2012	2011	2010	2009	2008
TOTAL	THS_T	ITI11	4544	4266	5533	1933	:	:	:	:
TOTAL	THS_T	ITI12	8781	9655	12334	7421	:	:	:	:
TOTAL	THS_T	ITI13	2357	3016	2740	3202	:	:	:	:
TOTAL	THS_T	ITI14	17752	16785	17398	23280	:	:	:	:
TOTAL	THS_T	ITI15	4779	2737	1689	2072	:	:	:	:
TOTAL	THS_T	ITI16	19477	14831	17496	16555	:	:	:	:
TOTAL	THS_T	ITI17	6053	6709	6477	6408	:	:	:	:
TOTAL	THS_T	ITI18	5294	5539	4256	4582	:	:	:	:
TOTAL	THS_T	ITI19	2922	3111	4224	2747	:	:	:	:
TOTAL	THS_T	ITI1A	10013	4471	4887	1855	:	:	:	:
TOTAL	THS_T	ITI21	18551	14325	12570	11489	:	:	:	:
TOTAL	THS_T	ITI22	4214	2350	3287	5907	:	:	:	:
TOTAL	THS_T	ITI31	2599	3850	4150	7400	:	:	:	:
TOTAL	THS_T	ITI32	10526	6301	11817	12070	:	:	:	:
TOTAL	THS_T	ITI33	3801	5818	6182	2521	:	:	:	:
TOTAL	THS_T	ITI34	2225	2106	2817	3477	:	:	:	:
TOTAL	THS_T	ITI35	955	1043	801	1233	:	:	:	:
TOTAL	THS_T	ITI41	2798	4235	3785	11025	:	:	:	:
TOTAL	THS_T	ITI42	309	271	909	2305	:	:	:	:
TOTAL	THS_T	ITI43	32091	32517	29719	28639	:	:	:	:
TOTAL	THS_T	ITI44	5608	5461	5995	11534	:	:	:	:
TOTAL	THS_T	ITI45	7518	8511	9153	8233	:	:	:	:
TOTAL	THS_T	LT001	1879	1649	1709	2214	1400	1826	1477	2473
TOTAL	THS_T	LT002	7619	7925	6889	6937	6319	6837	7280	9744
TOTAL	THS_T	LT003	4310	4704	4432	3751	4105	3558	3863	6626
TOTAL	THS_T	LT004	2059	2479	1672	1405	2029	1726	1409	1804
TOTAL	THS_T	LT005	2740	2218	2649	2313	2287	2504	2764	3637
TOTAL	THS_T	LT006	4453	4413	3754	3612	4295	3929	4193	4599
TOTAL	THS_T	LT007	1153	1462	1328	1133	1154	1240	853	1369
TOTAL	THS_T	LT008	2056	2011	1621	1968	1684	2069	1851	3060
TOTAL	THS_T	LT009	1606	1442	1498	1165	1167	1567	1568	2532
TOTAL	THS_T	LT00A	6689	6617	6084	6495	5855	5656	7491	10480
TOTAL	THS_T	LU000	25502	28518	22585	29148	27296	27803	23539	27504
TOTAL	THS_T	LV003	11123	10800	9837	11262	8803	7522	5823	9875
TOTAL	THS_T	LV005	7032	6481	7748	4236	6306	5739	4088	5847
TOTAL	THS_T	LV006	9644	9569	8476	8363	9095	7748	7321	9824
TOTAL	THS_T	LV007	9793	11851	10915	9059	9321	7183	6851	8487
TOTAL	THS_T	LV008	8348	7551	7117	6818	8509	6926	5654	6636
TOTAL	THS_T	LV009	7234	9321	9480	6493	6881	7944	5363	8641
TOTAL	THS_T	NL111	5728	4430	4971	3596	5146	3976	9488	5538
TOTAL	THS_T	NL112	2580	2276	1781	1426	2347	1759	4196	3380
TOTAL	THS_T	NL113	12125	11114	8762	8724	8917	10627	11359	10696
TOTAL	THS_T	NL121	9353	9667	8571	7361	7683	7672	9125	8922
TOTAL	THS_T	NL122	4401	3902	3427	3575	3885	4371	3667	2784
TOTAL	THS_T	NL123	10325	8765	8502	7262	7336	6633	7020	8226
TOTAL	THS_T	NL131	6045	6412	5882	6789	4206	5512	5987	5746
TOTAL	THS_T	NL132	5756	4633	5469	4470	5412	8399	11347	5920
TOTAL	THS_T	NL133	6312	6105	6079	4054	3896	4148	4990	4785
TOTAL	THS_T	NL211	16203	14754	14864	12968	15919	16819	16342	18340
TOTAL	THS_T	NL212	5278	2411	3891	3951	5063	3810	4669	4104
TOTAL	THS_T	NL213	16500	15046	15289	11455	13989	12547	15858	16981
TOTAL	THS_T	NL221	20749	23071	22201	18185	17918	18436	19295	18644
TOTAL	THS_T	NL224	11843	11023	9138	7607	7924	8105	11410	11673
TOTAL	THS_T	NL225	13730	11779	10352	10964	14590	12880	12765	12087
TOTAL	THS_T	NL226	17757	15585	15694	14112	15987	14205	15693	16463
TOTAL	THS_T	NL230	10895	11063	9834	9372	8574	8962	9352	10457
TOTAL	THS_T	NL310	22274	25364	24542	22528	23176	22689	26550	27596
TOTAL	THS_T	NL321	11453	12361	10462	8952	9143	6786	7625	7951
TOTAL	THS_T	NL322	3242	3034	2153	2417	4663	4609	2959	4466
TOTAL	THS_T	NL323	6315	4871	5854	3914	3819	4105	3973	3682
TOTAL	THS_T	NL324	1549	1230	1503	907	1256	1244	1207	1201
TOTAL	THS_T	NL325	5010	4973	5095	4729	4041	5442	3766	4105
TOTAL	THS_T	NL326	30001	25520	27043	21459	22319	25907	29595	23278
TOTAL	THS_T	NL327	4846	1906	3487	2690	3069	1688	2692	3050
TOTAL	THS_T	NL331	:	:	:	:	7090	6549	7269	7710
TOTAL	THS_T	NL332	7875	6434	7065	4835	7573	6976	7459	7453
TOTAL	THS_T	NL333	7798	6861	6420	6271	5738	5266	7784	8757
TOTAL	THS_T	NL334	:	:	:	:	8487	10379	9415	9547
TOTAL	THS_T	NL335	:	:	:	:	57093	53760	56143	56899
TOTAL	THS_T	NL336	:	:	:	:	10230	12756	13008	12729
TOTAL	THS_T	NL337	8405	7738	8045	6900	:	:	:	:
TOTAL	THS_T	NL338	10563	10788	8727	8339	:	:	:	:
TOTAL	THS_T	NL339	60633	56068	54596	56951	:	:	:	:
TOTAL	THS_T	NL33A	10298	10936	9013	10650	:	:	:	:
TOTAL	THS_T	NL341	6323	4485	4758	3484	3200	4097	4415	4683
TOTAL	THS_T	NL342	8667	8556	7759	8729	7653	8673	8684	10403
TOTAL	THS_T	NL411	25553	24668	25745	20504	21989	22063	26413	25097
TOTAL	THS_T	NL412	16850	14449	13709	12527	10440	12150	12877	12816
TOTAL	THS_T	NL413	24625	26401	25641	24443	21193	22498	26328	23327
TOTAL	THS_T	NL414	21273	21682	22669	18703	19978	18773	21462	23026
TOTAL	THS_T	NL421	15643	14132	18566	13282	15818	12838	18694	12948
TOTAL	THS_T	NL422	9507	7977	7512	7464	8311	8158	8043	11700
TOTAL	THS_T	NL423	14186	12417	13055	13848	11702	14579	15348	17410
TOTAL	THS_T	NO011	32519	24642	24777	23383	29619	24476	25214	25548
TOTAL	THS_T	NO012	47002	51119	35720	30742	31403	35370	25965	37241
TOTAL	THS_T	NO021	18531	24905	15381	11241	11597	8706	12927	10309
TOTAL	THS_T	NO022	13453	11315	13531	10849	9275	10017	9341	8920
TOTAL	THS_T	NO031	24915	18502	24289	25743	21001	27543	17210	35332
TOTAL	THS_T	NO032	14704	13390	14117	12227	14831	10245	13643	10276
TOTAL	THS_T	NO033	10023	8372	8201	8177	8042	15876	11012	13265
TOTAL	THS_T	NO034	5273	7579	8919	8033	5597	5669	8274	8374
TOTAL	THS_T	NO041	4235	5452	7194	8542	6460	5075	7086	8245
TOTAL	THS_T	NO042	11291	6230	6235	7084	5811	7291	9159	8502
TOTAL	THS_T	NO043	20948	29333	25583	21764	20229	25264	23417	31449
TOTAL	THS_T	NO051	20209	20465	24537	14138	14880	17805	17877	22363
TOTAL	THS_T	NO052	6097	12922	4041	4366	12673	24811	6316	7080
TOTAL	THS_T	NO053	10614	17062	10400	14964	16736	14152	20612	16048
TOTAL	THS_T	NO061	10506	12806	16844	22525	13188	8358	14214	10157
TOTAL	THS_T	NO062	5569	5877	6816	6288	6297	6657	7934	7716
TOTAL	THS_T	NO071	10079	9905	8153	9609	8519	8603	12541	12689
TOTAL	THS_T	NO072	5816	5839	7523	3141	5093	3885	5008	6875
TOTAL	THS_T	NO073	6682	2432	3443	3382	9779	1133	4328	1682
TOTAL	THS_T	PL113	13019	15980	16668	9719	6718	11102	15472	10273
TOTAL	THS_T	PL114	11713	9196	13237	11960	13204	7374	8472	13380
TOTAL	THS_T	PL115	26236	18880	23166	23095	23948	22296	19659	18356
TOTAL	THS_T	PL116	12136	13018	24740	23094	18866	10094	26870	8602
TOTAL	THS_T	PL117	13068	10551	12082	15307	36362	10502	13109	14160
TOTAL	THS_T	PL121	:	20695	20915	22013	21547	19254	17128	20149
TOTAL	THS_T	PL122	:	24261	18552	22761	26911	22417	18270	19084
TOTAL	THS_T	PL127	23996	28377	28278	33952	26387	29552	26733	35147
TOTAL	THS_T	PL128	14035	11874	12805	12127	13235	11722	16815	15694
TOTAL	THS_T	PL129	15581	16968	13177	13072	18447	18584	16311	12609
TOTAL	THS_T	PL12A	31158	33131	30333	29421	36578	27202	26371	23013
TOTAL	THS_T	PL12B	10836	:	:	:	:	:	:	:
TOTAL	THS_T	PL12C	10882	:	:	:	:	:	:	:
TOTAL	THS_T	PL12D	16185	:	:	:	:	:	:	:
TOTAL	THS_T	PL12E	6586	:	:	:	:	:	:	:
TOTAL	THS_T	PL213	15351	12805	15087	13159	14221	11862	17002	15650
TOTAL	THS_T	PL214	21508	22397	17419	13618	17768	20263	12542	11109
TOTAL	THS_T	PL215	:	15097	13758	11274	16103	14233	11879	10391
TOTAL	THS_T	PL216	:	13991	14955	17441	22482	15922	15020	20305
TOTAL	THS_T	PL217	11074	16090	10891	13035	15175	12869	20362	10138
TOTAL	THS_T	PL218	6674	:	:	:	:	:	:	:
TOTAL	THS_T	PL219	2887	:	:	:	:	:	:	:
TOTAL	THS_T	PL21A	16057	:	:	:	:	:	:	:
TOTAL	THS_T	PL224	14388	15082	11099	8097	9670	11227	11019	11716
TOTAL	THS_T	PL225	12500	15948	13649	20211	13383	14907	15298	11520
TOTAL	THS_T	PL227	16087	22560	26888	22355	12190	20920	24550	27524
TOTAL	THS_T	PL228	11168	11681	14269	12587	16659	16914	15152	13289
TOTAL	THS_T	PL229	21429	14548	16799	13515	15199	19784	31320	21285
TOTAL	THS_T	PL22A	19183	21719	23587	18121	19842	22649	15394	19109
TOTAL	THS_T	PL22B	26557	22379	31893	24544	26245	21793	28653	24441
TOTAL	THS_T	PL22C	11809	17837	14641	12329	16735	15551	13907	13677
TOTAL	THS_T	PL311	8472	9667	8058	5703	8006	7086	5393	7671
TOTAL	THS_T	PL312	13993	19259	12780	10775	13753	13687	10100	13628
TOTAL	THS_T	PL314	13326	19269	25589	21742	22014	12982	13769	13480
TOTAL	THS_T	PL315	11836	8954	7465	7175	11739	6021	6150	4646
TOTAL	THS_T	PL323	6758	11570	5728	9211	9351	11911	9227	14049
TOTAL	THS_T	PL324	6992	9420	16339	13839	11577	8748	3785	4591
TOTAL	THS_T	PL325	14298	12336	10610	15531	15034	14039	11532	12885
TOTAL	THS_T	PL326	15536	13295	16526	12690	18691	15534	9892	9696
TOTAL	THS_T	PL331	27203	35120	37743	40210	37401	32214	37607	45873
TOTAL	THS_T	PL332	19436	16627	15046	21352	15831	14258	16146	13903
TOTAL	THS_T	PL343	11195	11355	13962	21758	17399	12402	11181	17129
TOTAL	THS_T	PL344	14404	12101	16108	12822	22228	8681	10916	10476
TOTAL	THS_T	PL345	8221	8880	13787	7950	11838	7193	6910	8693
TOTAL	THS_T	PL411	14927	12221	14365	11807	7615	12620	9968	8684
TOTAL	THS_T	PL414	20088	14970	14152	19660	19553	17908	13235	19267
TOTAL	THS_T	PL415	11836	10664	12003	11578	9786	13264	17948	17853
TOTAL	THS_T	PL416	22728	24063	24372	22777	19070	20682	16772	12642
TOTAL	THS_T	PL417	16275	19058	20258	22160	22659	17165	16734	11133
TOTAL	THS_T	PL418	31507	26992	25246	29854	26888	20206	10968	12237
TOTAL	THS_T	PL422	:	14129	13319	15062	19112	16761	13189	10800
TOTAL	THS_T	PL423	:	8135	8002	6866	5243	8704	17192	14493
TOTAL	THS_T	PL424	10374	14453	10134	8734	9563	13615	9983	9965
TOTAL	THS_T	PL425	:	10020	10453	13982	12841	9569	8368	8356
TOTAL	THS_T	PL426	12365	:	:	:	:	:	:	:
TOTAL	THS_T	PL427	15906	:	:	:	:	:	:	:
TOTAL	THS_T	PL428	12026	:	:	:	:	:	:	:
TOTAL	THS_T	PL431	10939	9068	13069	9969	14743	12252	11683	10021
TOTAL	THS_T	PL432	14508	13381	17416	13375	16920	24865	11983	12553
TOTAL	THS_T	PL514	12658	18030	17364	13478	14908	13001	19946	13766
TOTAL	THS_T	PL515	13507	14634	18931	13461	18577	15225	16311	20102
TOTAL	THS_T	PL516	15256	12549	16236	17476	7836	11018	11483	15691
TOTAL	THS_T	PL517	18177	22464	17987	16066	21694	24901	20496	19585
TOTAL	THS_T	PL518	26136	29144	24118	32390	31686	26342	24096	20102
TOTAL	THS_T	PL521	:	14762	12158	11659	14315	9106	9591	7656
TOTAL	THS_T	PL522	:	28968	24960	19283	24317	18138	20253	18383
TOTAL	THS_T	PL523	10853	:	:	:	:	:	:	:
TOTAL	THS_T	PL524	20662	:	:	:	:	:	:	:
TOTAL	THS_T	PL613	15922	20968	20602	17337	21477	18972	18559	18635
TOTAL	THS_T	PL614	:	15127	11367	9199	12361	21731	20025	11967
TOTAL	THS_T	PL615	:	24625	27185	28381	29801	28035	29122	20905
TOTAL	THS_T	PL616	11587	:	:	:	:	:	:	:
TOTAL	THS_T	PL617	15153	:	:	:	:	:	:	:
TOTAL	THS_T	PL618	5538	:	:	:	:	:	:	:
TOTAL	THS_T	PL619	7981	:	:	:	:	:	:	:
TOTAL	THS_T	PL621	15079	13829	15200	12151	18659	21274	15148	15072
TOTAL	THS_T	PL622	13199	14598	12593	23413	20021	23643	12670	15106
TOTAL	THS_T	PL623	6974	9382	9348	8019	11284	11843	21889	6434
TOTAL	THS_T	PL631	:	16090	14666	10517	18161	13885	17718	14019
TOTAL	THS_T	PL633	19926	27559	26706	21925	24397	20593	23735	26568
TOTAL	THS_T	PL634	22399	19486	16160	14893	20156	16927	13492	15235
TOTAL	THS_T	PL635	:	15421	9998	9437	14188	16520	11515	9923
TOTAL	THS_T	PL636	9496	:	:	:	:	:	:	:
TOTAL	THS_T	PL637	13553	:	:	:	:	:	:	:
TOTAL	THS_T	PL638	8989	:	:	:	:	:	:	:
TOTAL	THS_T	PT111	1994	2094	1897	2159	3348	3549	5995	6579
TOTAL	THS_T	PT112	3474	3921	2702	2663	4523	4030	5897	7182
TOTAL	THS_T	PT113	:	4261	4357	5075	6523	5745	7565	7237
TOTAL	THS_T	PT114	:	16895	17029	15613	22016	23474	27378	28170
TOTAL	THS_T	PT115	:	3924	3787	4512	7255	9717	7944	9137
TOTAL	THS_T	PT116	:	3125	4232	3304	5651	4542	4647	6374
TOTAL	THS_T	PT117	:	1558	1730	2607	6741	4827	2577	2826
TOTAL	THS_T	PT118	:	1055	1413	3151	6137	3960	3141	3038
TOTAL	THS_T	PT119	3434	:	:	:	:	:	:	:
TOTAL	THS_T	PT11A	21492	:	:	:	:	:	:	:
TOTAL	THS_T	PT11B	812	:	:	:	:	:	:	:
TOTAL	THS_T	PT11C	3851	:	:	:	:	:	:	:
TOTAL	THS_T	PT11D	2319	:	:	:	:	:	:	:
TOTAL	THS_T	PT11E	874	:	:	:	:	:	:	:
TOTAL	THS_T	PT150	4088	3381	3035	4852	6283	8544	10484	13823
TOTAL	THS_T	PT161	:	9019	9753	8256	10893	11191	13983	14721
TOTAL	THS_T	PT162	:	4754	7066	5567	7513	6021	10870	13598
TOTAL	THS_T	PT163	:	7711	7141	8137	14059	11197	13563	15349
TOTAL	THS_T	PT164	:	1496	2003	3444	2525	2849	2784	4424
TOTAL	THS_T	PT165	:	3381	3290	3278	4793	5148	6169	5457
TOTAL	THS_T	PT166	:	432	809	1202	821	1087	1712	1264
TOTAL	THS_T	PT167	:	254	146	206	296	247	396	454
TOTAL	THS_T	PT168	:	462	552	633	1761	2539	1356	2099
TOTAL	THS_T	PT169	:	615	524	616	1398	935	914	1006
TOTAL	THS_T	PT16A	:	436	499	413	892	965	828	1291
TOTAL	THS_T	PT16B	7767	6423	7114	7853	12299	14006	19026	18693
TOTAL	THS_T	PT16C	:	4557	4257	5917	5857	6950	8647	9010
TOTAL	THS_T	PT16D	8452	:	:	:	:	:	:	:
TOTAL	THS_T	PT16E	6717	:	:	:	:	:	:	:
TOTAL	THS_T	PT16F	9369	:	:	:	:	:	:	:
TOTAL	THS_T	PT16G	3054	:	:	:	:	:	:	:
TOTAL	THS_T	PT16H	849	:	:	:	:	:	:	:
TOTAL	THS_T	PT16I	5084	:	:	:	:	:	:	:
TOTAL	THS_T	PT16J	1328	:	:	:	:	:	:	:
TOTAL	THS_T	PT170	25816	:	:	:	:	:	:	:
TOTAL	THS_T	PT171	:	13214	13097	14826	22130	26115	34088	34798
TOTAL	THS_T	PT172	:	10833	10959	13048	16928	17546	21078	30115
TOTAL	THS_T	PT181	2891	3634	2265	3084	4693	5311	4181	4043
TOTAL	THS_T	PT182	:	765	887	875	1413	1916	1709	2766
TOTAL	THS_T	PT183	:	1906	1330	1803	4593	3076	3150	4001
TOTAL	THS_T	PT184	1618	2780	946	1605	2105	2127	3297	3665
TOTAL	THS_T	PT185	8777	11278	9760	9788	10525	12933	13791	16882
TOTAL	THS_T	PT186	1045	:	:	:	:	:	:	:
TOTAL	THS_T	PT187	1863	:	:	:	:	:	:	:
TOTAL	THS_T	RO111	4280	2962	4768	7632	15631	11793	17260	24150
TOTAL	THS_T	RO112	3915	3174	4362	3503	3047	2430	5243	6818
TOTAL	THS_T	RO113	7315	7237	6706	6337	5651	6726	8484	23164
TOTAL	THS_T	RO114	4481	3339	3939	3255	1902	2196	1775	4796
TOTAL	THS_T	RO115	2675	2121	2321	2560	1491	1762	1675	3486
TOTAL	THS_T	RO116	1433	2314	1179	908	1234	1212	1853	5174
TOTAL	THS_T	RO121	8316	5882	7076	5401	3111	2954	4245	4439
TOTAL	THS_T	RO122	4650	5402	5092	5606	5640	4750	8344	12467
TOTAL	THS_T	RO123	2441	2631	1004	794	1085	1268	1848	2005
TOTAL	THS_T	RO124	3649	3327	2993	3143	2325	1278	3607	16208
TOTAL	THS_T	RO125	3097	4006	3568	2640	2345	1726	4629	13796
TOTAL	THS_T	RO126	6527	6846	10189	9352	5021	3251	3942	4284
TOTAL	THS_T	RO211	4614	2998	3192	2929	2625	4423	7040	7305
TOTAL	THS_T	RO212	2000	2032	1907	1244	1308	1380	1337	8317
TOTAL	THS_T	RO213	4600	4005	4774	4712	5181	2512	4319	5309
TOTAL	THS_T	RO214	3025	2628	2227	1558	1511	1194	1626	2485
TOTAL	THS_T	RO215	5075	7270	7342	3662	6205	5532	6760	8475
TOTAL	THS_T	RO216	1274	507	1060	887	850	517	804	949
TOTAL	THS_T	RO221	1227	1120	1269	1566	1416	1365	2688	2836
TOTAL	THS_T	RO222	5100	4793	5836	5329	4509	3883	6882	6742
TOTAL	THS_T	RO223	8520	6965	8166	10099	10063	8868	12957	15585
TOTAL	THS_T	RO224	1769	2051	1818	1938	1721	3674	7100	6815
TOTAL	THS_T	RO225	1869	2268	2395	1093	2577	2107	2921	2391
TOTAL	THS_T	RO226	1909	1532	1797	1652	1500	1033	1337	7763
TOTAL	THS_T	RO311	5225	4802	5002	6307	5385	7708	17634	12868
TOTAL	THS_T	RO312	2741	2843	3515	2123	3043	3690	5542	4376
TOTAL	THS_T	RO313	3304	2890	2627	2628	2954	4019	4427	5300
TOTAL	THS_T	RO314	1068	1088	1003	1376	1171	827	976	694
TOTAL	THS_T	RO315	1865	1460	1497	1105	2622	701	2096	901
TOTAL	THS_T	RO316	8266	8834	7735	10190	11683	9658	16081	10041
TOTAL	THS_T	RO317	1828	2165	1036	1723	1151	1788	1889	2772
TOTAL	THS_T	RO321	8687	10504	9853	11380	11196	14846	16988	45572
TOTAL	THS_T	RO322	5259	5646	5307	4677	5774	6067	7613	7196
TOTAL	THS_T	RO411	2000	3307	2290	1445	1151	1424	4261	2524
TOTAL	THS_T	RO412	2026	2233	2403	2897	3331	3693	12272	5244
TOTAL	THS_T	RO413	2193	2063	2443	2786	4098	4028	5140	3615
TOTAL	THS_T	RO414	1791	2431	2249	2139	2055	1866	3691	3216
TOTAL	THS_T	RO415	2372	3439	3719	2784	2433	3057	6674	6027
TOTAL	THS_T	RO421	5835	7387	5922	8374	7219	5056	9233	6059
TOTAL	THS_T	RO422	2993	2595	1762	3927	3454	3854	9189	13984
TOTAL	THS_T	RO423	6993	6894	6855	11577	5077	5690	13251	11500
TOTAL	THS_T	RO424	9703	7679	9509	8479	10294	7798	28090	9984
TOTAL	THS_T	SE110	39825	41826	26031	30466	28766	38336	35000	37023
TOTAL	THS_T	SE121	11548	12745	7208	7056	9521	8872	9753	8421
TOTAL	THS_T	SE122	11593	12572	9372	6526	8784	5975	10239	6923
TOTAL	THS_T	SE123	23192	13362	15360	11953	17848	16035	11605	18172
TOTAL	THS_T	SE124	14499	9702	7626	11717	13087	11983	12991	11625
TOTAL	THS_T	SE125	14232	7776	8129	8479	11955	8108	6573	11631
TOTAL	THS_T	SE211	23792	19253	16932	15603	22667	18152	14720	20707
TOTAL	THS_T	SE212	12794	11867	10935	8249	6111	7938	10050	15529
TOTAL	THS_T	SE213	16984	14674	10730	9127	14624	10603	14712	10479
TOTAL	THS_T	SE214	2921	4090	774	3416	3228	1658	2051	1460
TOTAL	THS_T	SE221	5486	5732	4792	2797	8933	6371	5723	5439
TOTAL	THS_T	SE224	50868	48612	32623	34576	36737	36267	36780	45638
TOTAL	THS_T	SE231	18041	12898	11527	11799	12505	11609	12443	11327
TOTAL	THS_T	SE232	61400	64026	40827	48125	46847	48149	47246	58022
TOTAL	THS_T	SE311	17266	17142	9451	9041	10989	13230	11073	17530
TOTAL	THS_T	SE312	14342	16442	12302	12988	17451	13997	12458	16757
TOTAL	THS_T	SE313	14414	16101	11144	12204	12171	9060	13838	18836
TOTAL	THS_T	SE321	15259	13743	15029	11941	10986	11870	22913	17600
TOTAL	THS_T	SE322	8681	6739	4910	6933	6071	9920	8100	8127
TOTAL	THS_T	SE331	21760	9892	8459	13011	16345	15584	16231	16683
TOTAL	THS_T	SE332	18040	16513	12500	14002	9783	12436	14810	9971
TOTAL	THS_T	SI011	:	2854	2910	1683	2954	3391	2255	4770
TOTAL	THS_T	SI012	:	8725	5310	5560	6905	7257	9338	12977
TOTAL	THS_T	SI013	:	1786	1912	1470	1780	1482	1850	1418
TOTAL	THS_T	SI014	:	5478	5426	4630	6501	6545	6120	8157
TOTAL	THS_T	SI015	:	597	1023	938	851	1453	1218	1294
TOTAL	THS_T	SI016	:	2714	1384	2099	2161	2563	2420	4076
TOTAL	THS_T	SI017	:	2901	3318	3181	3787	5168	4497	4334
TOTAL	THS_T	SI018	:	2205	1926	943	1946	1425	1378	1424
TOTAL	THS_T	SI021	:	11516	9968	11327	13347	16780	14102	16094
TOTAL	THS_T	SI022	:	5044	3590	3400	3599	4029	4525	5542
TOTAL	THS_T	SI023	:	2367	2373	2481	3639	3196	2888	3253
TOTAL	THS_T	SI024	:	4507	3468	3130	5502	6445	6425	7432
TOTAL	THS_T	SI031	2064	:	:	:	:	:	:	:
TOTAL	THS_T	SI032	6013	:	:	:	:	:	:	:
TOTAL	THS_T	SI033	911	:	:	:	:	:	:	:
TOTAL	THS_T	SI034	4897	:	:	:	:	:	:	:
TOTAL	THS_T	SI035	1193	:	:	:	:	:	:	:
TOTAL	THS_T	SI036	1712	:	:	:	:	:	:	:
TOTAL	THS_T	SI037	3033	:	:	:	:	:	:	:
TOTAL	THS_T	SI038	1875	:	:	:	:	:	:	:
TOTAL	THS_T	SI041	11404	:	:	:	:	:	:	:
TOTAL	THS_T	SI042	4148	:	:	:	:	:	:	:
TOTAL	THS_T	SI043	2819	:	:	:	:	:	:	:
TOTAL	THS_T	SI044	3454	:	:	:	:	:	:	:
TOTAL	THS_T	SK010	11579	10752	9186	8746	10167	11705	18844	21036
TOTAL	THS_T	SK021	13328	13529	14652	13515	13224	16681	19977	21188
TOTAL	THS_T	SK022	12737	14276	12753	12528	13481	14526	17423	27109
TOTAL	THS_T	SK023	12644	11971	10701	11610	15332	19029	14391	17368
TOTAL	THS_T	SK031	14913	13134	10563	14993	10325	13855	16287	26500
TOTAL	THS_T	SK032	11525	12388	10288	8762	10833	10624	13258	14169
TOTAL	THS_T	SK041	11119	13111	11596	10681	12343	13955	18482	21672
TOTAL	THS_T	SK042	12835	11997	12651	13872	13219	11784	14575	19267
TOTAL	THS_T	UKC11	10113	10250	7209	8613	12912	11638	13104	15486
TOTAL	THS_T	UKC12	10734	9389	8139	11841	5822	7770	6092	8214
TOTAL	THS_T	UKC13	1253	2534	2864	3865	1852	2483	1371	1394
TOTAL	THS_T	UKC14	7876	16480	11726	12440	11116	13298	11478	16038
TOTAL	THS_T	UKC21	10950	5948	6475	9046	9611	6961	7798	10667
TOTAL	THS_T	UKC22	16835	10307	13569	14022	13412	11427	13232	13237
TOTAL	THS_T	UKC23	3156	6698	5877	5052	4524	6945	4033	8326
TOTAL	THS_T	UKD11	3474	5691	7933	7546	10384	7857	4657	3559
TOTAL	THS_T	UKD12	15103	18108	13084	18757	15880	18033	14765	18542
TOTAL	THS_T	UKD21	:	:	:	:	14186	15160	17142	16465
TOTAL	THS_T	UKD22	:	:	:	:	30684	28911	27991	34380
TOTAL	THS_T	UKD31	:	27312	27239	30041	26770	25593	24902	38780
TOTAL	THS_T	UKD32	:	23238	20092	23558	20978	21585	21014	27789
TOTAL	THS_T	UKD33	10770	:	:	:	:	:	:	:
TOTAL	THS_T	UKD34	13416	:	:	:	:	:	:	:
TOTAL	THS_T	UKD35	7733	:	:	:	:	:	:	:
TOTAL	THS_T	UKD36	11014	:	:	:	:	:	:	:
TOTAL	THS_T	UKD37	10441	:	:	:	:	:	:	:
TOTAL	THS_T	UKD41	5310	1198	1097	965	1200	2047	1321	6056
TOTAL	THS_T	UKD42	984	568	627	1258	319	739	1113	1909
TOTAL	THS_T	UKD43	:	30403	22953	27961	25717	23964	31563	39451
TOTAL	THS_T	UKD44	12037	:	:	:	:	:	:	:
TOTAL	THS_T	UKD45	10056	:	:	:	:	:	:	:
TOTAL	THS_T	UKD46	5564	:	:	:	:	:	:	:
TOTAL	THS_T	UKD47	10225	:	:	:	:	:	:	:
TOTAL	THS_T	UKD51	:	:	:	:	7987	9198	12762	12756
TOTAL	THS_T	UKD52	:	:	:	:	20066	9792	8380	14758
TOTAL	THS_T	UKD53	:	:	:	:	2877	5844	5247	2661
TOTAL	THS_T	UKD54	:	:	:	:	2684	3244	3810	4521
TOTAL	THS_T	UKD61	5885	7011	5430	7227	:	:	:	:
TOTAL	THS_T	UKD62	11769	11909	10859	11864	:	:	:	:
TOTAL	THS_T	UKD63	16881	17969	14793	10250	:	:	:	:
TOTAL	THS_T	UKD71	21788	14209	17626	28757	:	:	:	:
TOTAL	THS_T	UKD72	11756	13515	13215	11538	:	:	:	:
TOTAL	THS_T	UKD73	5000	2492	2033	3569	:	:	:	:
TOTAL	THS_T	UKD74	3646	5224	3441	3673	:	:	:	:
TOTAL	THS_T	UKE11	11531	10990	11636	11559	13126	10488	8740	11757
TOTAL	THS_T	UKE12	16840	12327	13547	11598	13402	11213	12000	14955
TOTAL	THS_T	UKE13	36917	32421	29954	35907	31293	27676	30745	35574
TOTAL	THS_T	UKE21	3561	1122	2557	2669	2354	3586	3300	4879
TOTAL	THS_T	UKE22	38356	26107	27452	36735	24216	22213	28047	27121
TOTAL	THS_T	UKE31	26260	28703	29772	23897	23714	25907	20128	24915
TOTAL	THS_T	UKE32	8919	8965	8254	6850	10317	7042	5933	13422
TOTAL	THS_T	UKE41	8827	10801	10579	6127	5623	8677	7579	5868
TOTAL	THS_T	UKE42	16028	15843	24258	15560	13490	15386	14548	12913
TOTAL	THS_T	UKE43	:	:	:	:	25548	27282	25210	32661
TOTAL	THS_T	UKE44	11232	8413	12973	12396	:	:	:	:
