geo,unit,product,indic_en,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
PL,KTOE,lignite/brown_coal,primary_prod,12886.1,13204.2,12990.5,12903.7,12496.8,12121.8,12204,12123.6,12354.8,12924.3,12735.6,12593.7,11934.2,12726.6,12180.5,11559,12550.8,12733.8,13117,12434.3
PL,KTOE,total_coal,primary_prod,90548.9,90453,91715.1,79282.4,75626.8,70690.4,71026.2,70660.9,70162.2,68804.6,68419.7,67105.9,61991.9,60535.1,56095.5,55076.9,55298.3,57506.8,56834.9,53639.3
PT,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,KTOE,coking_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,KTOE,other_bituminous_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,KTOE,Sub-bituminous Coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,KTOE,lignite/brown_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,KTOE,total_coal,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,KTOE,coking_coal,primary_prod,219.5,195.8,203.6,120.8,68.2,8.1,8,7.5,5.8,0,0,0,0,0,0,0,0,0,0,0
RO,KTOE,other_bituminous_coal,primary_prod,6,5.6,6,1.3,0,154,56.3,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,KTOE,Sub-bituminous Coal,primary_prod,426.8,551,641.2,540.2,441,0,0,0,0,26.8,16.2,10.6,6.6,4.5,5.8,2.1,17.8,23.3,24.3,43.7
RO,KTOE,lignite/brown_coal,primary_prod,7234.1,7311.6,5752.1,4487.3,4135,5439.5,5633.4,6088.5,6530.4,6270.8,5777.2,6467.2,6851.5,6956.7,6557.6,5900.8,6644.1,6322.4,4632.1,4405
RO,KTOE,total_coal,primary_prod,7886.4,8064,6602.9,5149.6,4644.2,5601.6,5697.7,6096,6536.2,6297.6,5793.4,6477.8,6858.1,6961.2,6563.4,5902.9,6661.9,6345.7,4656.4,4448.7
SE,KTOE,anthracite,primary_prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
